set_id,t_sec,movement_raw,phone_proxy_raw,texture_density_raw,lighting_flux_raw,motion_change_raw,face_count_raw,face_area_ratio_raw,movement_norm,phone_proxy_norm,texture_density_norm,lighting_flux_norm,motion_change_norm,face_count_norm,face_area_ratio_norm,crowd_energy_v1,crowd_energy,crowd_energy_smooth
set_x9VYKrtziSg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1657855851266241
set_x9VYKrtziSg,10,4.78910669698962e-06,0.0,0.0,3.117624364560639e-05,0.0,0.0,0.0,6.893292201021003e-07,0.0,0.0,5.330875924032641e-05,0.0,0.0,0.0,4.825304540714702e-07,8.306512035094906e-06,0.2753434351800198
set_x9VYKrtziSg,20,3.8388566970825195,1.0416666666666667,0.06953848379629629,0.33926802491830066,0.8037037037037037,0.0,0.0,0.5525531712933046,0.21428571428571427,0.5438447612582031,0.5801198394489572,0.9163216494845361,0.0,0.0,0.4510729341910275,0.49734844886783725,0.33571349659987737
set_x9VYKrtziSg,30,5.57674503326416,1.6493055555555556,0.06375144675925926,0.26467059277414673,0.7203703703703703,0.0,0.0,0.8026994485014659,0.33928571428571425,0.49858565286263856,0.4525644932910272,0.8213113402061856,0.0,0.0,0.6636753282367404,0.604016985340207,0.4193983219954406
set_x9VYKrtziSg,40,6.3781609535217285,0.2604166666666667,0.0421875,0.22793666598583878,0.6876085069444444,0.0,0.0,0.9180527797679867,0.05357142857142857,0.329938900203666,0.3897525624705656,0.7839587628865979,0.0,0.0,0.6587083744090192,0.5771937422793076,0.5220236692013096
set_x9VYKrtziSg,50,4.628134250640869,0.1736111111111111,0.03899739583333333,0.14540080905047204,0.5171947337962963,0.0,0.0,0.6661593435634837,0.03571428571428571,0.304989816700611,0.24862317638810988,0.5896659793814433,0.0,0.0,0.4770258262087243,0.41842412697781617,0.5466664155783035
set_x9VYKrtziSg,60,4.7405104637146,0.607638888888889,0.04986979166666667,0.27889243486746546,0.7898365162037037,0.0,0.0,0.6823344284420134,0.125,0.39002036659877803,0.4768826492794416,0.9005113402061855,0.0,0.0,0.5151340999094094,0.5131350425413798,0.5437924941111101
set_x9VYKrtziSg,70,5.418039321899414,1.0416666666666667,0.08866464120370371,0.26035420070806103,0.7702763310185186,3.0,0.025911458333333335,0.7798558387924617,0.21428571428571427,0.6934261145055443,0.44518382523962635,0.8782103092783505,0.75,0.14572823433685925,0.6101848014404374,0.6205621807528069,0.5467732339861074
set_x9VYKrtziSg,80,5.293321132659912,1.3888888888888888,0.116015625,0.2639327455519245,0.6717303240740741,0.0,0.0,0.7619042880001076,0.2857142857142857,0.9073319755600814,0.45130283648680436,0.7658556701030927,0.0,0.0,0.619047287314361,0.5896473780042396,0.5757946004691185
set_x9VYKrtziSg,90,6.028420925140381,0.6944444444444444,0.057863136574074076,0.26923248002904865,0.7137297453703704,0.0,0.0,0.8677122807446208,0.14285714285714285,0.4525345100701516,0.46036493750481733,0.813740206185567,0.0,0.0,0.6502557393783773,0.5920974416542948,0.5675753689338906
set_x9VYKrtziSg,100,5.558595180511475,0.5208333333333334,0.10736400462962963,0.23416337599854756,0.7018518518518518,0.0,0.0,0.8000870147774812,0.10714285714285714,0.8396696085087123,0.40039971383043127,0.8001979381443298,0.0,0.0,0.5922037674870939,0.5635309593928713,0.5289641116158017
set_x9VYKrtziSg,110,4.461294651031494,0.6944444444444444,0.07041377314814815,0.18090910380355846,0.5970124421296297,1.0,0.015306712962962963,0.6421449671134519,0.14285714285714285,0.5506902014030324,0.30933937932597066,0.6806680412371134,0.25,0.08608624898291294,0.4923586198365592,0.47203888486524054,0.4953528022479972
set_x9VYKrtziSg,120,4.169433116912842,0.607638888888889,0.07732928240740741,0.10001685049019608,0.3425347222222222,3.0,0.05303096064814815,0.6001353197154772,0.125,0.6047748359357321,0.17102041744881546,0.39053195876288654,0.75,0.2982506102522376,0.457594723800834,0.4275058941623623,0.44549651124857076
set_x9VYKrtziSg,130,4.528132915496826,0.5208333333333334,0.07669270833333333,0.1027403038761801,0.33352864583333336,1.0,0.025180844907407407,0.6517654603770132,0.10714285714285714,0.5997963340122199,0.17567729409200705,0.3802639175257732,0.25,0.1416192026037429,0.4883786794067664,0.4215908311652168,0.4562504556555317
set_x9VYKrtziSg,140,3.6121015548706055,0.3472222222222222,0.07083333333333333,0.08478607820442992,0.2861400462962963,1.0,0.016666666666666666,0.519914736774121,0.07142857142857142,0.5539714867617108,0.14497707553579547,0.32623505154639176,0.25,0.09373474369406021,0.3853688871704561,0.34281598665716284,0.49566379620068546
set_x9VYKrtziSg,150,5.63636589050293,1.5625,0.09055266203703703,0.2765780172022513,0.715625,0.0,0.0,0.8112810904699052,0.3214285714285714,0.7081918986195971,0.4729251893782758,0.815901030927835,0.0,0.0,0.664325334757505,0.6173006814276762,0.5061940239457892
set_x9VYKrtziSg,160,5.426596164703369,2.951388888888889,0.12786458333333334,0.25854294321895427,0.7005787037037037,0.0,0.0,0.7810874843058712,0.6071428571428571,1.0,0.44208672699691876,0.7987463917525773,0.0,0.0,0.7289040961569669,0.669105587591009,0.5128835811819854
set_x9VYKrtziSg,170,4.2393598556518555,1.996527777777778,0.12425491898148149,0.1250746357570806,0.3750072337962963,0.0,0.0,0.6102003584229144,0.4107142857142857,0.9717696311382665,0.21386712653515524,0.4275546391752577,0.0,0.0,0.5503545366103257,0.480157032887881,0.5138981076941963
set_x9VYKrtziSg,180,4.701144695281982,0.3472222222222222,0.06021412037037037,0.1607665554647785,0.517238136574074,1.0,0.01597945601851852,0.6766682413701252,0.07142857142857142,0.4709210228558497,0.2748973127292149,0.5897154639175257,0.25,0.08986981285598047,0.495096340387659,0.45503861734619794,0.46831073795832234
set_x9VYKrtziSg,190,3.596932888031006,0.607638888888889,0.07198350694444444,0.09617769040486565,0.32533998842592593,0.0,0.0,0.5177314057388984,0.125,0.5629667345553292,0.16445577601861566,0.3709278350515464,0.0,0.0,0.3999119840172288,0.3478886192182178,0.44311327765301345
set_x9VYKrtziSg,200,4.028786659240723,0.5208333333333334,0.07432002314814815,0.1024418459513435,0.343359375,1.0,0.03961226851851852,0.5798911031816949,0.10714285714285714,0.5812400995700384,0.17516695609749613,0.3914721649484536,0.25,0.22278275020341742,0.43806662937004354,0.3893638327483059,0.47459193185634546
set_x9VYKrtziSg,210,5.725398540496826,0.9548611111111112,0.02191116898148148,0.2009018983750908,0.6393373842592592,0.0,0.0,0.8240961750080079,0.19642857142857142,0.17136229916270648,0.3435253795532726,0.7289237113402062,0.0,0.0,0.6357958939341769,0.5431182860644647,0.510220037097369
set_x9VYKrtziSg,220,6.580638408660889,0.607638888888889,0.06864872685185185,0.2177548282044299,0.6895399305555555,2.0,0.025730613425925926,0.9471967590255526,0.125,0.5368861733423851,0.37234247467797554,0.786160824742268,0.5,0.14471114727420667,0.7005377313178868,0.6375503039045411,0.5387734912315799
set_x9VYKrtziSg,230,5.335305213928223,1.8229166666666667,0.0705078125,0.3250657282588961,0.7819878472222223,1.0,0.03961226851851852,0.7679473469312397,0.375,0.5514256619144603,0.5558351045116042,0.8915628865979381,0.25,0.22278275020341742,0.6500631428518677,0.6331791435513153,0.5787251706537108
set_x9VYKrtziSg,240,4.60748815536499,0.3472222222222222,0.020920138888888887,0.3096621675290487,0.7922887731481482,0.0,0.0,0.6631876084038513,0.07142857142857142,0.16361167684996603,0.5294963088656154,0.9033072164948454,0.0,0.0,0.48565989731126724,0.4906558898892725,0.6114564579476294
set_x9VYKrtziSg,250,5.427215576171875,1.0416666666666667,0.05437644675925926,0.3252447008896151,0.7898365162037037,0.0,0.0,0.7811766404787281,0.21428571428571427,0.42526589726182396,0.5561411326845316,0.9005113402061855,0.0,0.0,0.6111093626208239,0.58912222985896,0.5953458675484924
set_x9VYKrtziSg,260,6.947488307952881,1.3020833333333335,0.07499276620370371,0.2886999875181554,0.7659722222222223,1.0,0.033449074074074076,1.0,0.26785714285714285,0.5865014709210229,0.49365274092151584,0.8733030927835053,0.25,0.18812042310821808,0.7803571428571427,0.7067747225340576,0.5763018448303081
set_x9VYKrtziSg,270,6.113736152648926,0.1736111111111111,0.022945601851851852,0.24955862495461145,0.7093677662037037,0.0,0.0,0.8799922909766472,0.03571428571428571,0.17945236478841367,0.42672429704106307,0.8087670103092783,0.0,0.0,0.6267088893979387,0.5569973519088564,0.5905257607519803
