set_id,t_sec,movement_raw,phone_proxy_raw,texture_density_raw,lighting_flux_raw,motion_change_raw,face_count_raw,face_area_ratio_raw,movement_norm,phone_proxy_norm,texture_density_norm,lighting_flux_norm,motion_change_norm,face_count_norm,face_area_ratio_norm,crowd_energy_v1,crowd_energy,crowd_energy_smooth
set_T3gcbYL2VMg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2809339953381602
set_T3gcbYL2VMg,10,4.003383636474609,0.08680555555555555,0.060554108796296295,0.24603315631808279,0.5807436342592592,0.0,0.0,0.6634320448500931,0.00909090909090909,0.3714830922162066,0.4767678993199226,0.5835168589142554,0.0,0.0,0.4671297041223379,0.448803627400948,0.32799443742571477
set_T3gcbYL2VMg,20,3.8690900802612305,0.1736111111111111,0.06319444444444444,0.1298163750453885,0.44501591435185184,0.0,0.0,0.6411772082670846,0.01818181818181818,0.38768083784503415,0.25156073008184293,0.447140998524527,0.0,0.0,0.4542785912415046,0.3939983586135326,0.36541991164909404
set_T3gcbYL2VMg,30,4.3928422927856445,0.4340277777777778,0.05439814814814815,0.1964130582788671,0.5844039351851852,0.0,0.0,0.7279722878552649,0.045454545454545456,0.33371793733913196,0.38061309538926746,0.5871946388725351,0.0,0.0,0.5232169651350491,0.46917576368837854,0.4654838968696639
set_T3gcbYL2VMg,40,4.616420745849609,1.0416666666666667,0.10594618055555556,0.18777905433006536,0.6166883680555556,0.0,0.0,0.7650232237059359,0.1090909090909091,0.6499511848761872,0.363881952371827,0.6196332395717494,0.0,0.0,0.5682435293214279,0.5151218085426112,0.4677311406025722
set_T3gcbYL2VMg,50,4.419394016265869,0.08680555555555555,0.13374565972222222,0.18055822213144518,0.5848017939814815,1.0,0.02109375,0.7323723818263468,0.00909090909090909,0.8204934765243632,0.3498892814237416,0.5875943975636525,0.3333333333333333,0.169920167822388,0.5153879400057154,0.5003199261028493,0.4801387064045649
set_T3gcbYL2VMg,60,4.316098213195801,0.1736111111111111,0.07395109953703703,0.1695332073801743,0.6227936921296297,0.0,0.0,0.7152544255978112,0.01818181818181818,0.45367000976302474,0.3285247905494348,0.6257677183954413,0.0,0.0,0.5061326433730132,0.4600398460654893,0.46878952391558765
set_T3gcbYL2VMg,70,4.485320568084717,0.3472222222222222,0.08523582175925926,0.1354913591594045,0.48519241898148147,0.0,0.0,0.7432975868665536,0.03636363636363636,0.5228987308067808,0.2625578261448441,0.4875093579875421,0.0,0.0,0.5312174017156783,0.45603618762349624,0.46069031151784523
set_T3gcbYL2VMg,80,3.9876930713653564,0.08680555555555555,0.1119068287037037,0.11842399691358024,0.4427734375,0.0,0.0,0.6608318384645637,0.00909090909090909,0.6865181503505814,0.22948435520845664,0.44488781317459275,0.0,0.0,0.46530955965246734,0.4124298512434923,0.45659193393390485
set_T3gcbYL2VMg,90,4.659852027893066,0.0,0.06351996527777778,0.17874208537581698,0.554224537037037,0.0,0.0,0.7722205614764238,0.0,0.38967782018283487,0.3463699358248943,0.5568711250663235,0.0,0.0,0.5405543930334966,0.474625746553899,0.4474905000001298
set_T3gcbYL2VMg,100,4.595073223114014,0.4340277777777778,0.07145543981481481,0.18314627587145968,0.526634837962963,0.0,0.0,0.7614855585838815,0.045454545454545456,0.43835981183988637,0.35490446296845396,0.5291496769222942,0.0,0.0,0.5466762546450806,0.4798280381831476,0.44799428568002836
set_T3gcbYL2VMg,110,3.946096897125244,0.0,0.06617476851851851,0.1681271559549746,0.5084924768518518,0.0,0.0,0.6539386107752084,0.0,0.4059643205822313,0.32580011638616235,0.5109206806073424,0.0,0.0,0.45775702754264586,0.41453267639661395,0.44241840958197737
set_T3gcbYL2VMg,120,4.274997234344482,0.4340277777777778,0.07854456018518519,0.17870804398148146,0.5436704282407407,0.0,0.0,0.7084432606132127,0.045454545454545456,0.48184964941865627,0.34630396974003747,0.5462666172419558,0.0,0.0,0.5095466460656125,0.4585551160229889,0.3807923381703321
set_T3gcbYL2VMg,130,3.775604009628296,0.0,0.02839265046296296,0.15124069535221496,0.5008246527777778,0.0,0.0,0.6256848996010022,0.0,0.17418123724150172,0.2930772002190513,0.5032162403785352,0.0,0.0,0.4379794297207015,0.3845504707532373,0.33027057561598644
set_T3gcbYL2VMg,140,1.6628056764602661,0.0,0.005613425925925926,0.06463311887254902,0.21881510416666666,0.0,0.0,0.2755565467350067,0.0,0.034436850980740216,0.12524733158940993,0.21986001177471054,0.0,0.0,0.19288958271450465,0.16649538949567255,0.32272459355125627
set_T3gcbYL2VMg,150,1.7101082801818848,0.1736111111111111,0.07517361111111111,0.10897441789215687,0.4112413194444444,0.0,0.0,0.2833954315293209,0.01818181818181818,0.46116978787609836,0.2111727747413222,0.4132051198185822,0.0,0.0,0.20383134752507007,0.2272192254114195,0.2785998878488446
