set_id,t_sec,movement_raw,phone_proxy_raw,texture_density_raw,lighting_flux_raw,motion_change_raw,face_count_raw,face_area_ratio_raw,movement_norm,phone_proxy_norm,texture_density_norm,lighting_flux_norm,motion_change_norm,face_count_norm,face_area_ratio_norm,crowd_energy_v1,crowd_energy,crowd_energy_smooth,moment_type,track,track_source,track_confidence
set_3_unknown_dj,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2457357769114904,low,Unknown,none,0.0
set_3_unknown_dj,10,1.522014617919922,0.1736111111111111,0.0241102430555555,0.0696896275871459,0.1940248842592592,0.0,0.0,0.2619548277336476,0.1428571428571428,0.1406566509115462,0.2980423162697003,0.3106771376282808,0.0,0.0,0.2262255222706961,0.2292579948004304,0.2855512169452193,low,Unknown,none,0.0
set_3_unknown_dj,20,3.6706488132476807,0.0868055555555555,0.1280381944444444,0.1609527335239651,0.4294994212962963,0.0,0.0,0.6317575181105154,0.0714285714285714,0.7469615124915598,0.6883481397491421,0.6877244191164548,0.0,0.0,0.4636588341059321,0.507949335934041,0.3234253293825695,low,Unknown,none,0.0
set_3_unknown_dj,50,2.6703007221221924,0.0,0.1280309606481481,0.0774335058097313,0.2339482060185185,1.0,0.012160011574074,0.459587021980466,0.0,0.7469193112761647,0.3311606364886411,0.3746032849167188,0.3333333333333333,0.1213718411552346,0.3217109153863262,0.3479612160866526,0.3896110182377524,low,Unknown,none,0.0
set_3_unknown_dj,120,4.5309576988220215,0.0,0.0676142939814814,0.1730027913943355,0.4900318287037037,0.0,0.0,0.7798257845154375,0.0,0.3944547602970966,0.7398827408542792,0.7846503115806056,0.0,0.0,0.5458780491608062,0.5600917833330041,0.5486917043868942,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,130,4.4681267738342285,0.0,0.1118127893518518,0.1758148375090777,0.5110026041666667,0.0,0.0,0.7690119171992242,0.0,0.6523041863605672,0.7519090461526815,0.8182292028632984,0.0,0.0,0.5383083420394569,0.5732798492669113,0.5584588040710001,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,140,4.96322774887085,0.0868055555555555,0.1407190393518518,0.1797960069444444,0.5311776620370371,1.0,0.0074074074074074,0.854224036123369,0.0714285714285714,0.8209402430790007,0.7689353526642935,0.8505339727106356,0.3333333333333333,0.0739350180505415,0.6193853967149296,0.6567939095325546,0.5833206317619882,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,150,3.759223699569702,0.1736111111111111,0.0791811342592592,0.175593114560639,0.4766782407407407,0.0,0.0,0.647002193696958,0.1428571428571428,0.4619345037137069,0.7509608014366345,0.7632682373109089,0.0,0.0,0.4957586784450134,0.5317900848673311,0.5784093269923971,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,160,4.01023006439209,0.2604166666666667,0.1260778356481481,0.174546199845679,0.4732855902777778,1.0,0.0078776041666666,0.6902030462268495,0.2142857142857142,0.7355249831195139,0.7464834509701916,0.7578358468274377,0.3333333333333333,0.0786281588447653,0.5474278466445088,0.5946475318101401,0.560493905533976,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,200,3.3381237983703613,0.3472222222222222,0.1372395833333333,0.1611312806372549,0.4094762731481481,0.0,0.0,0.5745264429527999,0.2857142857142857,0.800641458474004,0.6891117339460204,0.6556628906340493,0.0,0.0,0.4878827957812455,0.5246448785506252,0.3858819174345819,low,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,210,3.773159980773926,0.0,0.0248842592592592,0.1632219896060276,0.4479890046296296,0.0,0.0,0.6494007752211547,0.0,0.1451721809588116,0.6980530895720014,0.7173303681052657,0.0,0.0,0.4545805426548082,0.4759299581437869,0.3470291599534268,low,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,260,4.489914894104004,0.2604166666666667,0.0845558449074074,0.1654814020515613,0.4952835648148148,0.0,0.0,0.7727618833458761,0.2142857142857142,0.4932900067521945,0.7077159410176257,0.7930595130539534,0.0,0.0,0.6052190326278275,0.600727833158436,0.5657732242416128,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,280,3.836958408355713,0.0868055555555555,0.0451461226851851,0.1544273670116194,0.4301866319444444,0.0,0.0,0.6603811599757405,0.0714285714285714,0.263377785280216,0.6604410405554171,0.6888247967197165,0.0,0.0,0.4836953834115897,0.4925747612940925,0.5402749540066245,high,100 gecs - Dumbest Girl Alive,audio_fingerprint,0.81
set_3_unknown_dj,470,3.531101942062378,0.0,0.1207320601851851,0.10651955110748,0.3444299768518518,0.0,0.0,0.6077400243415831,0.0,0.7043382849426064,0.4555532127127878,0.5515092547547895,0.0,0.0,0.4254180170391082,0.4321838325832398,0.5449371847130229,high,Skrillex & Nai Barghouti - XENA,audio_fingerprint,0.81
set_3_unknown_dj,500,3.3903627395629883,0.0,0.1310329861111111,0.0855118123638344,0.2636429398148148,0.0,0.0,0.583517317731522,0.0,0.7644328156650911,0.365709209644823,0.422151180299766,0.0,0.0,0.4084621224120654,0.3978759332391395,0.5630280118045483,high,Skrillex & Nai Barghouti - XENA,audio_fingerprint,0.81
set_3_unknown_dj,510,4.3961710929870605,0.1736111111111111,0.0443431712962962,0.1738449187545388,0.4605613425925925,0.0,0.0,0.7566275828052895,0.1428571428571428,0.2586934503713707,0.7434842752248745,0.7374614867838859,0.0,0.0,0.5724964508208454,0.5672573033144972,0.534942264641169,high,Skrillex & Nai Barghouti - XENA,audio_fingerprint,0.81
set_3_unknown_dj,850,3.561894655227661,0.1736111111111111,0.044654224537037,0.1479038727759622,0.4221715856481481,0.0,0.0,0.6130397762478345,0.1428571428571428,0.2605081026333559,0.6325419485458347,0.6759909189890426,0.0,0.0,0.4719849862306269,0.4799451171954013,0.3284408669869157,low,Underworld - Moaner,audio_fingerprint,0.87
set_3_unknown_dj,860,1.3245155811309814,0.0,0.0093605324074074,0.0415745279593318,0.0997106481481481,0.0,0.0,0.227963152784879,0.0,0.0546083727211343,0.1778021929493589,0.1596589987722102,0.0,0.0,0.1595742069494153,0.1479500662088771,0.2903992667366237,low,Underworld - Moaner,audio_fingerprint,0.87
