set_id,t_sec,movement_raw,phone_proxy_raw,texture_density_raw,lighting_flux_raw,motion_change_raw,face_count_raw,face_area_ratio_raw,movement_norm,phone_proxy_norm,texture_density_norm,lighting_flux_norm,motion_change_norm,face_count_norm,face_area_ratio_norm,crowd_energy_v1,crowd_energy,crowd_energy_smooth,moment_type,track,track_source,track_confidence
set_x9VYKrtziSg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1657855851266241,low,Unknown,none,0.0
set_x9VYKrtziSg,10,4.78910669698962e-06,0.0,0.0,3.117624364560639e-05,0.0,0.0,0.0,6.893292201021003e-07,0.0,0.0,5.330875924032641e-05,0.0,0.0,0.0,4.825304540714702e-07,8.306512035094906e-06,0.2753434351800198,low,Unknown,none,0.0
set_x9VYKrtziSg,40,6.3781609535217285,0.2604166666666667,0.0421875,0.2279366659858387,0.6876085069444444,0.0,0.0,0.9180527797679868,0.0535714285714285,0.329938900203666,0.3897525624705656,0.7839587628865979,0.0,0.0,0.6587083744090192,0.5771937422793076,0.5220236692013096,high,Unknown,none,0.0
set_x9VYKrtziSg,50,4.628134250640869,0.1736111111111111,0.0389973958333333,0.145400809050472,0.5171947337962963,0.0,0.0,0.6661593435634837,0.0357142857142857,0.304989816700611,0.2486231763881098,0.5896659793814433,0.0,0.0,0.4770258262087243,0.4184241269778161,0.5466664155783035,high,Unknown,none,0.0
set_x9VYKrtziSg,60,4.7405104637146,0.607638888888889,0.0498697916666666,0.2788924348674654,0.7898365162037037,0.0,0.0,0.6823344284420134,0.125,0.390020366598778,0.4768826492794416,0.9005113402061855,0.0,0.0,0.5151340999094094,0.5131350425413798,0.5437924941111101,high,Unknown,none,0.0
set_x9VYKrtziSg,70,5.418039321899414,1.0416666666666667,0.0886646412037037,0.260354200708061,0.7702763310185186,3.0,0.0259114583333333,0.7798558387924617,0.2142857142857142,0.6934261145055443,0.4451838252396263,0.8782103092783505,0.75,0.1457282343368592,0.6101848014404374,0.6205621807528069,0.5467732339861074,high,Unknown,none,0.0
set_x9VYKrtziSg,80,5.293321132659912,1.3888888888888888,0.116015625,0.2639327455519245,0.6717303240740741,0.0,0.0,0.7619042880001076,0.2857142857142857,0.9073319755600814,0.4513028364868043,0.7658556701030927,0.0,0.0,0.619047287314361,0.5896473780042396,0.5757946004691185,high,Unknown,none,0.0
set_x9VYKrtziSg,90,6.028420925140381,0.6944444444444444,0.057863136574074,0.2692324800290486,0.7137297453703704,0.0,0.0,0.8677122807446208,0.1428571428571428,0.4525345100701516,0.4603649375048173,0.813740206185567,0.0,0.0,0.6502557393783773,0.5920974416542948,0.5675753689338906,high,Unknown,none,0.0
set_x9VYKrtziSg,100,5.558595180511475,0.5208333333333334,0.1073640046296296,0.2341633759985475,0.7018518518518518,0.0,0.0,0.8000870147774812,0.1071428571428571,0.8396696085087123,0.4003997138304312,0.8001979381443298,0.0,0.0,0.5922037674870939,0.5635309593928713,0.5289641116158017,high,Unknown,none,0.0
set_x9VYKrtziSg,150,5.63636589050293,1.5625,0.090552662037037,0.2765780172022513,0.715625,0.0,0.0,0.8112810904699052,0.3214285714285714,0.7081918986195971,0.4729251893782758,0.815901030927835,0.0,0.0,0.664325334757505,0.6173006814276762,0.5061940239457892,high,Unknown,none,0.0
