set_id,start_sec,timestamp,track,source,confidence
set_T3gcbYL2VMg,60,00:01:00,Charli xcx - 365,audio_fingerprint,0.81
set_T3gcbYL2VMg,540,00:09:00,Andini - Goyang Tiktokan,audio_fingerprint,0.81
set_T3gcbYL2VMg,1980,00:33:00,Rico Nasty & Boys Noize - Arintintin,audio_fingerprint,0.81
set_T3gcbYL2VMg,3420,00:57:00,Charli xcx & Bb trickz - Club classics featuring bb trickz,audio_fingerprint,0.81
set_T3gcbYL2VMg,4380,01:13:00,Foals - Hummer (Surkin Remix),audio_fingerprint,0.81
set_T3gcbYL2VMg,4860,01:21:00,Forme - Kick a Hole,audio_fingerprint,0.81
set_T3gcbYL2VMg,5340,01:29:00,SebastiAn - Doggg,audio_fingerprint,0.81
