set_id,start_sec,timestamp,track,source,confidence
set_bk6Xst6euQk,540,00:09:00,Night Talk - Gamma,audio_fingerprint,0.84
set_bk6Xst6euQk,1260,00:21:00,Freakme & Stan Ritch - Metronome,audio_fingerprint,0.81
set_bk6Xst6euQk,1740,00:29:00,Kollektiv Turmstrasse - Sorry I Am Late (Extended),audio_fingerprint,0.9
set_bk6Xst6euQk,2460,00:41:00,Khan & Julee Cruise - Say Good Bye (Losoul Mix),audio_fingerprint,0.84
set_bk6Xst6euQk,2940,00:49:00,R.A.W. - Unbe (Erick 'More' Mix),audio_fingerprint,0.95
set_bk6Xst6euQk,3660,01:01:00,Matthias Meyer - Tout Va Bien,audio_fingerprint,0.81
set_bk6Xst6euQk,4140,01:09:00,SevenDoors - Movement of Whale,audio_fingerprint,0.81
set_bk6Xst6euQk,4860,01:21:00,Solomun - Something We All Adore,audio_fingerprint,0.81
set_bk6Xst6euQk,6540,01:49:00,Mousse T. - Horny (Radio Slave and Thomas Gandey Just 17 Mix),audio_fingerprint,0.84
