set_id,start_sec,timestamp,track,source,confidence
set_EfZu4BCi644,1260,00:21:00,Ultrasone - Motus,audio_fingerprint,0.81
set_EfZu4BCi644,1980,00:33:00,Blancah - Ripple Effect,audio_fingerprint,0.81
set_EfZu4BCi644,4140,01:09:00,Marina Ferdinand - Green Eyed Sorrow (Fasan & Hertz Remix),audio_fingerprint,0.84
set_EfZu4BCi644,5340,01:29:00,Trancecatcher - Nord Pole,audio_fingerprint,0.95
set_EfZu4BCi644,6060,01:41:00,"Miriam García, Chancha Vía Circuito & Alicia Solans - Pintar el Sol (Remix)",audio_fingerprint,0.81
