set_id,start_sec,timestamp,track,source,confidence
set_1_unknown_dj,300,00:05:00,Fred again.. - Kammy (like i do),audio_fingerprint,0.81
set_1_unknown_dj,780,00:13:00,Fred again.. - Tanya (Maybe Life),audio_fingerprint,0.87
set_1_unknown_dj,1020,00:17:00,Fred again.. & Delilah Montagu - Delilah (pull me out of this),audio_fingerprint,0.81
set_1_unknown_dj,1500,00:25:00,"Matt Jam Lamont, Echelon (UKG) & Smokey Bubblin' B - Haribo",audio_fingerprint,0.81
set_1_unknown_dj,1740,00:29:00,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ - ()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,audio_fingerprint,0.81
set_1_unknown_dj,2220,00:37:00,Fred again.. & Swedish House Mafia - Turn On The Lights again.. (feat. Future),audio_fingerprint,0.84
set_1_unknown_dj,2460,00:41:00,Fred again.. - Jungle,audio_fingerprint,0.84
set_1_unknown_dj,2940,00:49:00,Fred again.. - Tate (How I Feel),audio_fingerprint,0.81
set_1_unknown_dj,3180,00:53:00,"Fred again.., Skrillex & Four Tet - Baby again..",audio_fingerprint,0.84
set_1_unknown_dj,3660,01:01:00,"Skrillex, Fred again.. & Flowdan - Rumble",audio_fingerprint,0.81
