set_id,avg_energy,max_energy,min_energy,high_moment_count,low_moment_count,avg_movement,avg_phone_proxy,avg_lighting_flux,avg_motion_change,avg_texture_density,avg_face_presence,dj_name,set_title,youtube_url,rank_by_avg_energy
set_2_unknown_dj,0.4982341630008629,0.6768955326291742,0.275970348607339,26,26,0.6188109986216163,0.2681159420289855,0.4349558856370544,0.5915635401034457,0.6710541861897473,0.1531620553359683,Unknown DJ,Set 2,https://www.youtube.com/watch?v=-5EQIiabJvk,1
set_3_unknown_dj,0.4713382164225492,0.6294281804174091,0.2457357769114904,36,36,0.6126048896978129,0.1261904761904762,0.5144346944171404,0.5706776073801232,0.5882218752344512,0.1324074074074074,Unknown DJ,Set 3,https://www.youtube.com/watch?v=T1tcUfUhR5U,2
set_1_unknown_dj,0.4477801934407339,0.6135717232599701,0.2662382937503379,44,44,0.4925902463051607,0.3693735498839907,0.4481727441238284,0.4422596949941087,0.6804493453214102,0.1276102088167053,Unknown DJ,Set 1,https://www.youtube.com/watch?v=c0-hvjV2A5Y,3
set_Zy_JR9_Y8dE,0.4322589371747046,0.5770588427026645,0.2916503466198923,36,36,0.6149098658330272,0.1200092850510677,0.3342606378552355,0.516148382551897,0.5483526354715399,0.0445682451253481,Chase & Status,Chase & Status Boiler Room Set,https://www.youtube.com/watch?v=Zy_JR9_Y8dE,4
set_Fa8LQLy4C5A,0.4156529267472312,0.5820401178932062,0.1908629781163923,29,29,0.5870116034043816,0.0441743827160493,0.4089745461884735,0.4802916837249069,0.4776868755733993,0.1793981481481481,riria,riria Boiler Room Set,https://www.youtube.com/watch?v=Fa8LQLy4C5A,5
set_x9VYKrtziSg,0.4117661472848493,0.6114564579476294,0.1657855851266241,36,36,0.6093976459108861,0.1309523809523809,0.2564096813930147,0.4978891024520939,0.404405795211484,0.0501412429378531,Sama' Abdulhadi,Sama' Abdulhadi Boiler Room Set,https://www.youtube.com/watch?v=x9VYKrtziSg,6
set_bk6Xst6euQk,0.4113502719360472,0.6986035330371663,0.2192930044969434,73,73,0.5532775056612222,0.1665351223362272,0.3598258920350431,0.4676146439795239,0.4680527287467679,0.0964088397790055,Solomun,Solomun Boiler Room Set,https://www.youtube.com/watch?v=bk6Xst6euQk,7
set_T3gcbYL2VMg,0.3752605993233369,0.5130094858024588,0.1659681632176636,57,57,0.5956433248569939,0.0505601792573623,0.2574032134337646,0.4258975094470503,0.2665503427059205,0.0487089201877934,Charli xcx,Charli xcx Boiler Room Set,https://www.youtube.com/watch?v=T3gcbYL2VMg,8
set_EIQlDpgAY5Y,0.290436764322703,0.5370470981065137,0.1387201445406087,36,36,0.5166985939955785,0.0183559457302474,0.1112611250552916,0.2195135233600492,0.2368515873021178,0.0698324022346368,Sara Landry,Sara Landry Boiler Room Set,https://www.youtube.com/watch?v=EIQlDpgAY5Y,9
set_EfZu4BCi644,0.2856782590172496,0.4649034107325519,0.1408335939621021,82,82,0.3936517896885411,0.0393995098039215,0.2209057894510449,0.4064521916984386,0.4734700630653729,0.0620915032679738,Acid Pauli,Acid Pauli Boiler Room Set,https://www.youtube.com/watch?v=EfZu4BCi644,10
